date,stateId,stateName,confidence,distance,close,volatilityMultiple,volumeMultiple,trendScore,resonanceCount,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,stretchHeat
2024-11-25,1,上侧趋势拉伸共振态,0.0355,3.6101,92813.8,1.4281,1.2774,12.7909,4,10.282,2.4553,71.6877,40.8472,7.6374,68.1966,39.8842
2024-11-26,1,上侧趋势拉伸共振态,0.2028,2.8334,95560.3,1.3911,1.053,15.4344,4,9.9844,2.3874,70.7388,44.7909,8.1354,71.3919,42.1307
2024-11-27,5,上侧趋势共振态,0.11,2.6509,95011.7,0.7169,0.7478,13.0659,4,8.5069,2.0946,66.6503,43.7191,8.1272,71.3397,37.99
2024-11-28,1,上侧趋势拉伸共振态,0.3809,2.3435,98026,1.0956,0.5878,15.2432,4,11.8024,2.8885,77.7364,47.9965,8.8737,76.1295,53.8659
2024-11-29,1,上侧趋势拉伸共振态,0.0517,3.1304,96667.3,0.9226,0.5362,12.8303,3,10.2528,2.5241,72.6488,45.6934,8.5129,73.8141,46.4628
2024-11-30,5,上侧趋势共振态,0.1467,2.8616,97042.8,0.7698,0.6225,11.2389,3,8.9384,2.2753,69.1744,45.9977,8.7369,75.2518,44.4262
2024-12-01,5,上侧趋势共振态,0.5365,1.6442,97049.5,0.9901,0.7786,9.7208,4,5.764,1.5126,58.5228,45.7314,8.7095,75.0755,33.5983
2024-12-02,5,上侧趋势共振态,0.4456,1.8771,95703.1,1.0739,0.867,6.7802,3,3.252,0.8571,49.3693,43.4183,8.2386,72.0543,22.685
2024-12-03,5,上侧趋势共振态,0.3001,2.2029,95769.9,0.6182,0.6698,6.2181,3,2.8088,0.7659,48.0952,43.231,8.461,73.481,25.3858
2024-12-04,4,放量波动扩张态,0.4698,3.0589,101344.2,2.5625,2.0122,12.2688,4,6.0014,1.4776,58.0343,51.1837,8.8358,75.886,33.9203
2024-12-05,4,放量波动扩张态,0.2097,5.0487,99326.8,2.9538,1.7512,10.1835,4,2.9703,0.627,46.1555,47.8049,7.0297,64.2969,18.1415
2024-12-06,5,上侧趋势共振态,0.3819,2.6462,99739.5,0.7204,0.6879,10.0726,4,3.2437,0.7005,47.1817,48.0763,7.2384,65.6359,18.4542
2024-12-07,5,上侧趋势共振态,0.329,2.9551,99915.2,0.4471,0.395,10.6764,4,3.4256,0.7712,48.1694,48.0026,7.5516,67.6462,19.4768
2024-12-08,5,上侧趋势共振态,0.3804,2.3279,97813.8,0.9219,0.9426,8.4512,4,1.2504,0.2832,41.3547,44.5864,7.0712,64.5632,23.2085
2024-12-09,0,放量波动扩张态,0.1033,2.5536,95672,1.0416,1.2394,4.0581,3,-0.9667,-0.2182,34.3528,41.1462,6.5173,61.0092,26.6564
2024-12-10,5,上侧趋势共振态,0.0768,3.1844,100367.9,1.4812,1.0391,8.8633,4,3.8942,0.8466,49.2223,47.7525,7.2996,66.0289,16.8066
2024-12-11,5,上侧趋势共振态,0.472,2.1121,101798,0.5314,0.8334,8.8385,4,5.3746,1.2105,54.3045,49.5235,7.8607,69.6294,23.9338
2024-12-12,5,上侧趋势共振态,0.2968,2.0899,99867.6,0.8033,0.8008,4.7669,3,3.3763,0.772,48.1803,46.3629,7.487,67.2313,19.051
2024-12-13,5,上侧趋势共振态,0.5303,1.6749,101620.1,0.6988,0.597,6.5174,4,5.1904,1.2142,54.3562,48.5809,8.0458,70.8173,25.1735
2024-12-14,5,上侧趋势共振态,0.5793,1.5435,102683.1,0.6937,0.5264,7.1898,4,6.2908,1.5063,58.435,49.7669,8.4572,73.4568,31.8917
