status,path,instrument,bar,cleanRows,snapshotCount,dataStatus,historyQuality,periodWeight,observationRows,environmentCounts
ok,/Users/guanlan/Desktop/--whd/data/clean/W_USDT_4H_clean.json,W-USDT,4H,4741,4509,ok,half_weight,0.7,11788,"{'TREND': 9168, 'RANGE': 1400, 'CHAOS': 1220}"
ok,/Users/guanlan/Desktop/--whd/data/clean/STRK_USDT_4H_clean.json,STRK-USDT,4H,4999,4767,ok,half_weight,0.7,12591,"{'TREND': 9682, 'RANGE': 1504, 'CHAOS': 1405}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ZK_USDT_4H_clean.json,ZK-USDT,4H,4286,4054,ok,half_weight,0.7,10657,"{'TREND': 8160, 'CHAOS': 1100, 'RANGE': 1397}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ZRO_USDT_4H_clean.json,ZRO-USDT,4H,4273,4041,ok,half_weight,0.7,10817,"{'TREND': 8554, 'CHAOS': 1037, 'RANGE': 1226}"
ok,/Users/guanlan/Desktop/--whd/data/clean/GALA_USDT_4H_clean.json,GALA-USDT,4H,10286,10054,ok,half_weight,0.7,26344,"{'TREND': 19759, 'CHAOS': 2511, 'RANGE': 4074}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SAND_USDT_4H_clean.json,SAND-USDT,4H,11414,11182,ok,half_weight,0.7,28105,"{'CHAOS': 3072, 'TREND': 20169, 'RANGE': 4864}"
ok,/Users/guanlan/Desktop/--whd/data/clean/MANA_USDT_4H_clean.json,MANA-USDT,4H,18386,18154,ok,half_weight,0.7,48603,"{'TREND': 33518, 'RANGE': 9709, 'CHAOS': 5376}"
ok,/Users/guanlan/Desktop/--whd/data/clean/BTC_USDT_8H_clean.json,BTC-USDT,8H,9191,8959,ok,half_weight,0.7,23433,"{'TREND': 15449, 'CHAOS': 3276, 'RANGE': 4708}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ETH_USDT_8H_clean.json,ETH-USDT,8H,9191,8959,ok,half_weight,0.7,24982,"{'TREND': 18654, 'RANGE': 3760, 'CHAOS': 2568}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SOL_USDT_8H_clean.json,SOL-USDT,8H,6213,5981,ok,half_weight,0.7,17237,"{'TREND': 13936, 'CHAOS': 1374, 'RANGE': 1927}"
ok,/Users/guanlan/Desktop/--whd/data/clean/BNB_USDT_8H_clean.json,BNB-USDT,8H,3778,3546,ok,half_weight,0.7,8796,"{'CHAOS': 1230, 'TREND': 5282, 'RANGE': 2284}"
ok,/Users/guanlan/Desktop/--whd/data/clean/XRP_USDT_8H_clean.json,XRP-USDT,8H,9192,8960,ok,half_weight,0.7,23992,"{'TREND': 17233, 'CHAOS': 2599, 'RANGE': 4160}"
ok,/Users/guanlan/Desktop/--whd/data/clean/DOGE_USDT_8H_clean.json,DOGE-USDT,8H,7533,7301,ok,half_weight,0.7,20882,"{'RANGE': 3669, 'TREND': 14736, 'CHAOS': 2477}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ADA_USDT_8H_clean.json,ADA-USDT,8H,8613,8381,ok,half_weight,0.7,24297,"{'TREND': 18145, 'CHAOS': 2276, 'RANGE': 3876}"
